date,district,tickets,prediction
2021-12-22,ประเวศ,1,11.835641138963457
2022-01-15,ประเวศ,1,10.156453311037627
2022-01-17,สาทร,6,6.374529221730288
2022-01-30,ประเวศ,1,10.954685497562942
2022-02-16,ดุสิต,1,4.91884560760673
2022-02-24,บางรัก,1,8.399260481897956
2022-03-04,พระนคร,1,6.107718980793132
2022-03-13,ประเวศ,1,10.23585775020029
2022-04-09,สะพานสูง,1,5.498511624882644
2022-04-10,จตุจักร,2,10.588037228648492
2022-04-26,จตุจักร,1,11.718597469226241
2022-04-28,คลองสาน,1,4.759734624618256
2022-04-30,จตุจักร,1,10.767234158996779
2022-05-02,บางเขน,2,8.547417369158493
2022-05-05,สวนหลวง,1,8.726983702640997
2022-05-11,ประเวศ,1,10.523147343031061
2022-05-19,ดินแดง,1,9.20956085275818
2022-05-24,จตุจักร,3,11.341473370327412
2022-05-25,บางขุนเทียน,1,9.716750957406935
2022-05-25,หลักสี่,1,5.8183913750225855
2022-05-26,คลองเตย,1,9.49061605931938
2022-05-26,จตุจักร,2,11.402920720382603
2022-05-26,หลักสี่,1,5.780075423067326
2022-05-27,คลองเตย,4,9.001871025574083
2022-05-28,ดุสิต,1,5.14577306672543
2022-05-28,พระนคร,1,6.781584205192419
2022-05-28,หนองจอก,1,5.8237901642592504
2022-05-29,คลองสามวา,17,6.6944669332653035
2022-05-29,จตุจักร,50,11.331631464092126
2022-05-29,บางคอแหลม,19,5.403396063658138
2022-05-29,บางเขน,15,8.964051029615197
2022-05-29,วังทองหลาง,12,6.421128582072157
2022-05-29,หนองแขม,4,5.2771010430614815
2022-05-30,จอมทอง,3,7.074363076491652
2022-05-30,ทวีวัฒนา,6,5.2533659066625535
2022-05-30,ปทุมวัน,15,12.766130729458535
2022-05-30,วัฒนา,8,12.949984744360359
2022-05-30,สายไหม,13,7.582642200189474
2022-05-30,หลักสี่,15,6.103716519760226
2022-05-31,คลองสาน,12,10.252323162575255
2022-05-31,คันนายาว,3,6.053334403042119
2022-05-31,จอมทอง,7,6.074237183381899
2022-05-31,ปทุมวัน,9,14.426175646429815
2022-05-31,พญาไท,7,14.190442832180125
2022-05-31,พระนคร,12,9.976515551042983
2022-05-31,ยานนาวา,17,11.133010189247173
2022-05-31,ราษฎร์บูรณะ,2,5.356879443990437
2022-05-31,ห้วยขวาง,16,17.358781760744343
2022-06-01,คลองสามวา,16,13.445714170970566
2022-06-01,ธนบุรี,12,7.572879548898013
2022-06-01,บางแค,16,15.046863374565977
2022-06-01,ปทุมวัน,12,15.1783398631512
2022-06-01,พระนคร,8,11.905018147221408
2022-06-01,ลาดกระบัง,18,14.711528189861621
2022-06-02,ดินแดง,28,13.294113507485879
2022-06-02,บางกะปิ,48,17.17490590377686
2022-06-02,บางพลัด,26,20.160573394885777
2022-06-02,ราชเทวี,35,22.494823763359253
2022-06-02,หลักสี่,24,10.001997926241106
2022-06-03,จอมทอง,20,15.623267721240364
2022-06-03,บางกะปิ,23,43.98784529472705
2022-06-03,บางขุนเทียน,21,17.53588090972379
2022-06-03,บางแค,20,22.97054514574998
2022-06-03,ภาษีเจริญ,16,12.393939163327378
2022-06-03,ราษฎร์บูรณะ,8,9.842391723541215
2022-06-03,วังทองหลาง,22,29.97337260092049
2022-06-04,คลองเตย,22,17.91234064216487
2022-06-04,ทวีวัฒนา,13,10.005172090699505
2022-06-04,ธนบุรี,13,10.810358417268684
2022-06-04,บางกะปิ,22,21.7523236576504
2022-06-04,บางซื่อ,25,33.06411395590209
2022-06-04,บางเขน,34,35.63301705155875
2022-06-04,ป้อมปราบศัตรูพ่าย,19,11.733612150468353
2022-06-04,ราชเทวี,28,34.757772549441015
2022-06-04,สะพานสูง,5,9.860291885609422
2022-06-04,สาทร,5,12.510059519672241
2022-06-04,หนองจอก,12,12.406153340958161
2022-06-05,คลองสามวา,48,12.509596364070557
2022-06-05,คลองเตย,42,20.2481533575651
2022-06-05,จตุจักร,117,50.7182871422063
2022-06-05,ดินแดง,41,17.676431753569894
2022-06-05,ดุสิต,8,9.769832380238311
2022-06-05,ปทุมวัน,36,22.769362843680078
2022-06-05,ลาดพร้าว,33,13.421637959422446
2022-06-05,สาทร,40,7.9300283933471345
2022-06-05,หนองแขม,24,6.8250583839874395
2022-06-06,ทุ่งครุ,20,14.96306206293485
2022-06-06,บางขุนเทียน,54,33.86783687827087
2022-06-06,บางบอน,26,15.833430906064368
2022-06-06,บางพลัด,46,28.405386050283767
2022-06-06,บางเขน,47,46.77145951489008
2022-06-06,ป้อมปราบศัตรูพ่าย,17,12.766924266387763
2022-06-06,พระนคร,14,24.528951672191827
2022-06-06,ภาษีเจริญ,23,12.181031636591317
2022-06-06,ราษฎร์บูรณะ,15,12.988834361941226
2022-06-06,สะพานสูง,27,24.521012781377536
2022-06-07,คลองเตย,38,43.73637280220194
2022-06-07,ดอนเมือง,34,32.78517737286446
2022-06-07,บางคอแหลม,25,12.386166644951569
2022-06-07,บางนา,43,42.40389948620632
2022-06-07,บางรัก,47,31.734092793270896
2022-06-07,บางแค,42,44.37319452922754
2022-06-07,พระโขนง,27,24.272686458898047
2022-06-07,ราชเทวี,54,41.90567193625644
2022-06-07,ลาดพร้าว,32,26.623818661020884
2022-06-07,สะพานสูง,29,24.521012781377536
2022-06-07,ห้วยขวาง,62,46.34288442525978
2022-06-08,ทวีวัฒนา,14,12.026541382630855
2022-06-08,ทุ่งครุ,28,14.96306206293485
2022-06-08,บางกอกน้อย,60,37.27620186474396
2022-06-08,ราชเทวี,65,45.46487378886772
2022-06-08,ราษฎร์บูรณะ,11,8.661541364525515
2022-06-08,หนองจอก,42,28.63621997499145
2022-06-09,คลองสาน,16,14.327893096356599
2022-06-09,จตุจักร,147,96.21251773145701
2022-06-09,ดอนเมือง,36,36.075152638033934
2022-06-09,ทุ่งครุ,19,22.48215677151513
2022-06-09,บางซื่อ,64,36.98656952320275
2022-06-09,พระนคร,28,24.707749428207197
2022-06-09,ยานนาวา,21,30.00889348147
2022-06-09,ราษฎร์บูรณะ,18,9.793825267968534
2022-06-09,สวนหลวง,77,52.398304524485994
2022-06-10,คลองสาน,15,13.327080758640545
2022-06-10,บางกอกน้อย,64,37.23497174444861
2022-06-10,บางบอน,27,13.862008511956432
2022-06-10,ป้อมปราบศัตรูพ่าย,38,27.69441555931048
2022-06-10,พระนคร,61,24.539278618869794
2022-06-10,มีนบุรี,38,29.716918230775274
2022-06-10,ลาดกระบัง,52,25.83057913317315
2022-06-10,สวนหลวง,62,51.404174759666965
2022-06-11,คลองสาน,41,13.674627624324268
2022-06-11,บางกอกน้อย,46,37.35838987053872
2022-06-11,บางรัก,29,39.11482808813133
2022-06-11,บางแค,52,45.815112669715404
2022-06-11,ป้อมปราบศัตรูพ่าย,29,29.09749928558535
2022-06-11,พระโขนง,17,26.47409544831666
2022-06-11,ภาษีเจริญ,26,28.81653821347873
2022-06-11,ลาดพร้าว,44,35.55743017075433
2022-06-12,จตุจักร,76,72.68928730170646
2022-06-12,จอมทอง,24,35.31495767823704
2022-06-12,บางขุนเทียน,22,41.12658943096822
2022-06-12,บางนา,71,34.516971303857794
2022-06-12,บางพลัด,27,39.353862474722845
2022-06-12,ปทุมวัน,33,41.09365781320545
2022-06-12,ประเวศ,38,46.75656238169063
2022-06-12,ยานนาวา,17,25.465960749695398
2022-06-12,วังทองหลาง,15,17.002341799611415
2022-06-12,สะพานสูง,14,15.939615693800459
2022-06-13,ดอนเมือง,42,16.422879186211826
2022-06-13,บางกอกใหญ่,8,22.43658625277668
2022-06-13,บางขุนเทียน,33,18.93511446889017
2022-06-13,บางรัก,22,32.31462105767837
2022-06-13,บึงกุ่ม,44,15.991716540250772
2022-06-13,ราชเทวี,41,39.70300474124943
2022-06-13,หนองจอก,16,14.097475038023651
2022-06-14,ดอนเมือง,19,35.38134815580092
2022-06-14,ทุ่งครุ,17,14.700481452286521
2022-06-14,ธนบุรี,31,25.948809438570628
2022-06-14,บางคอแหลม,17,18.652228133502714
2022-06-14,พระโขนง,8,13.241250127334675
2022-06-14,ภาษีเจริญ,20,11.974997923952387
2022-06-14,ลาดกระบัง,30,43.9000576497904
2022-06-14,ลาดพร้าว,26,13.768312446844709
2022-06-14,สวนหลวง,37,42.82869610490186
2022-06-14,สัมพันธวงศ์,6,6.135129394917357
2022-06-14,สายไหม,25,26.968597857916297
2022-06-14,หนองจอก,18,13.692494429733452
2022-06-14,ห้วยขวาง,59,41.1607897343571
2022-06-15,ดุสิต,21,10.019341338942144
2022-06-15,บางกอกน้อย,37,27.190629537914038
2022-06-15,บางกะปิ,57,40.52934086496391
2022-06-15,บางซื่อ,27,30.194952498026474
2022-06-15,ประเวศ,43,48.002008585303656
2022-06-15,พระนคร,15,12.073252706483949
2022-06-15,ภาษีเจริญ,28,15.267860327271524
2022-06-15,สวนหลวง,42,36.55320401840142
2022-06-15,หลักสี่,41,12.731978547324545
2022-06-15,ห้วยขวาง,50,47.19618054645579
2022-06-16,จตุจักร,121,63.775993318387386
2022-06-16,ธนบุรี,45,15.155395081917524
2022-06-16,บางกอกน้อย,29,33.61090548979983
2022-06-16,บางขุนเทียน,44,26.34686385406166
2022-06-16,บางคอแหลม,26,14.829416084202776
2022-06-16,บางพลัด,28,31.235948749811723
2022-06-16,ลาดกระบัง,39,34.41645124648789
2022-06-16,สายไหม,31,26.968597857916297
2022-06-16,หนองแขม,13,6.193011098426536
2022-06-17,คลองสามวา,29,34.62781970983106
2022-06-17,คลองเตย,61,44.044478137425436
2022-06-17,บางกอกน้อย,51,27.47863736909012
2022-06-17,บางกอกใหญ่,13,11.252929970821405
2022-06-17,บางขุนเทียน,25,40.63058811298449
2022-06-17,บางนา,68,42.08821676514883
2022-06-17,ประเวศ,42,37.29886180269976
2022-06-17,ป้อมปราบศัตรูพ่าย,15,11.599524448864988
2022-06-17,พญาไท,53,35.21307312008188
2022-06-17,พระนคร,32,14.155001126949804
2022-06-17,ภาษีเจริญ,25,28.827371546812067
2022-06-17,ยานนาวา,29,33.54104248498307
2022-06-17,ลาดกระบัง,38,35.74965912064946
2022-06-17,สวนหลวง,74,46.81466194584439
2022-06-17,สะพานสูง,33,32.63522321690852
2022-06-17,หนองแขม,17,11.32466701501919
2022-06-17,หลักสี่,18,32.579292269512884
2022-06-18,คลองสาน,22,15.448805842132874
2022-06-18,บางซื่อ,40,35.75696673824013
2022-06-18,บางพลัด,29,36.029662786084614
2022-06-18,บางเขน,42,46.310363395459675
2022-06-18,วัฒนา,33,46.38449056734009
2022-06-18,สัมพันธวงศ์,10,6.84599915573407
2022-06-19,พระโขนง,38,24.451146390623
2022-06-19,ภาษีเจริญ,22,19.476354827555
2022-06-19,ราชเทวี,47,41.90542649917173
2022-06-19,วัฒนา,35,31.55348139034
2022-06-19,สวนหลวง,69,21.15664224722783
2022-06-19,สาทร,30,29.607940524121283
2022-06-19,หลักสี่,27,15.799878112631806
2022-06-20,คลองสาน,26,14.502093120728706
2022-06-20,คันนายาว,25,12.340889123658645
2022-06-20,จอมทอง,29,31.227524059495885
2022-06-20,ดอนเมือง,34,7.8931626624345785
2022-06-20,ดินแดง,44,38.65215551904508
2022-06-20,บางรัก,41,25.762652508975446
2022-06-20,บางแค,43,38.022772184589336
2022-06-20,ป้อมปราบศัตรูพ่าย,19,12.354808428607985
2022-06-20,สวนหลวง,80,45.513039056121514
2022-06-21,ตลิ่งชัน,35,20.169026017821245
2022-06-21,บางคอแหลม,23,15.312198705605004
2022-06-21,บางซื่อ,53,38.949608634647674
2022-06-21,บางนา,50,42.829942123943646
2022-06-21,ประเวศ,46,47.86906958972175
2022-06-21,ยานนาวา,34,29.213693778924085
2022-06-21,ลาดกระบัง,61,44.44062917468697
2022-06-21,สวนหลวง,99,51.92813404154797
2022-06-22,ดินแดง,41,41.35201004533292
2022-06-22,ทุ่งครุ,17,16.333007223365183
2022-06-22,ธนบุรี,45,28.182080499791134
2022-06-22,บางกะปิ,65,47.68288432529313
2022-06-22,บางบอน,23,14.241502193008262
2022-06-22,บางรัก,53,38.311025499835615
2022-06-22,ราษฎร์บูรณะ,13,9.384915169342019
2022-06-22,ลาดกระบัง,47,44.44062917468697
2022-06-22,วังทองหลาง,29,32.81793944655758
2022-06-22,สะพานสูง,24,22.255117695009798
2022-06-23,คลองสาน,31,25.030206940608124
2022-06-23,บางคอแหลม,34,27.18001451145115
2022-06-23,บางซื่อ,51,42.90628767722892
2022-06-23,บางพลัด,29,35.97303789281527
2022-06-23,บางรัก,53,37.871494249835614
2022-06-23,บางแค,47,44.52137229933875
2022-06-23,วังทองหลาง,24,33.110854759417144
2022-06-23,วัฒนา,53,49.88205918274339
2022-06-23,หนองจอก,29,29.703498952693696
2022-06-24,จตุจักร,109,83.8372596714466
2022-06-24,บางซื่อ,34,42.6189926106848
2022-06-24,บึงกุ่ม,26,15.517338396255989
2022-06-24,พระโขนง,27,25.624646036934177
2022-06-24,ภาษีเจริญ,13,19.68722850766338
2022-06-24,สาทร,62,35.848130237486124
2022-06-24,หนองจอก,9,26.256447164096624
2022-06-25,บางนา,37,40.51309914249008
2022-06-25,บึงกุ่ม,21,27.371061270731133
2022-06-25,พระนคร,36,26.745043205198186
2022-06-25,ยานนาวา,30,35.50948380266933
2022-06-25,ลาดพร้าว,25,20.851410706762657
2022-06-25,สัมพันธวงศ์,12,6.873004727610768
2022-06-25,ห้วยขวาง,45,43.64233801134593
2022-06-26,ดอนเมือง,32,36.383826185161794
2022-06-26,ทวีวัฒนา,14,10.045748270618178
2022-06-26,บางแค,48,40.456653650853156
2022-06-26,ปทุมวัน,35,35.70974635489726
2022-06-26,ประเวศ,50,42.95036288943671
2022-06-26,พระโขนง,16,25.120271170796435
2022-06-26,มีนบุรี,26,37.10858818077001
2022-06-26,ราษฎร์บูรณะ,12,15.560114979903432
2022-06-26,ลาดพร้าว,40,27.71684575935447
2022-06-26,สะพานสูง,27,25.152155790275504
2022-06-26,หนองแขม,25,15.883140817359026
2022-06-26,หลักสี่,34,35.78147847120182
2022-06-27,คลองสามวา,43,33.75761869765542
2022-06-27,ดินแดง,59,27.484701395545393
2022-06-27,ดุสิต,31,8.546174084847628
2022-06-27,ตลิ่งชัน,25,31.21670677510148
2022-06-27,ทวีวัฒนา,14,12.234153810177649
2022-06-27,พระนคร,35,29.809641429549504
2022-06-27,ยานนาวา,38,26.327929791971552
2022-06-27,ราษฎร์บูรณะ,19,10.608490012014787
2022-06-27,หนองจอก,14,14.978464129167895
2022-06-28,คลองเตย,88,44.19471594748151
2022-06-28,ดินแดง,79,40.457637761174894
2022-06-28,บางกะปิ,95,42.662542849887664
2022-06-28,บางขุนเทียน,68,44.3152691383328
2022-06-28,บางแค,67,43.70530841939906
2022-06-28,พระโขนง,19,32.25489445818771
2022-06-28,ภาษีเจริญ,39,27.622749378211676
2022-06-28,ลาดกระบัง,54,38.70539769370128
2022-06-29,คลองสามวา,38,35.55858373372179
2022-06-29,บางพลัด,45,36.704608242923605
2022-06-29,บึงกุ่ม,35,30.617222488799136
2022-06-29,ประเวศ,57,46.97469730556372
2022-06-29,ป้อมปราบศัตรูพ่าย,20,14.979265760002113
2022-06-29,มีนบุรี,24,31.621572384120288
2022-06-29,วัฒนา,51,45.54751245872909
2022-06-29,สวนหลวง,58,45.86981127586701
2022-06-30,คลองเตย,43,42.96025947372882
2022-06-30,บางกอกน้อย,49,26.735171523175456
2022-06-30,บางนา,32,39.73427808447845
2022-06-30,ปทุมวัน,34,35.3220265407392
2022-06-30,ภาษีเจริญ,40,30.65354165386172
2022-06-30,ยานนาวา,27,25.946112316245852
2022-06-30,ราชเทวี,45,39.30001561369
2022-06-30,วังทองหลาง,25,41.49000656618676
2022-06-30,สัมพันธวงศ์,23,5.9946060080853485
2022-06-30,สาทร,43,35.88272658539205
2022-06-30,หนองแขม,21,22.460222638041284
2022-07-01,คันนายาว,7,13.719870366081611
2022-07-01,จตุจักร,129,69.7279562713756
2022-07-01,ทุ่งครุ,20,12.032724850057221
2022-07-01,บางกอกใหญ่,14,11.266374290043968
2022-07-01,บางขุนเทียน,38,32.09031922981389
2022-07-01,บางรัก,31,34.40168502281532
2022-07-01,พระนคร,26,17.79974521740808
2022-07-01,ยานนาวา,26,22.45750386954939
2022-07-01,สวนหลวง,24,43.27273313753624
2022-07-01,สะพานสูง,18,14.06248955190135
2022-07-01,สายไหม,29,14.561595410833414
2022-07-01,หนองจอก,17,11.783473866037834
2022-07-02,คลองเตย,22,40.078441405073654
2022-07-02,จอมทอง,34,25.053935426226367
2022-07-02,บางกรวย,1,6.54393176826747
2022-07-02,บางซื่อ,43,32.34322138892789
2022-07-02,บางรัก,23,22.99547744236984
2022-07-02,ปทุมวัน,37,31.766470187479165
2022-07-02,ป้อมปราบศัตรูพ่าย,13,19.020040496248185
2022-07-02,มีนบุรี,25,13.948983154269445
2022-07-02,ราชเทวี,41,41.513990602214264
2022-07-02,ราษฎร์บูรณะ,18,10.74259545843185
2022-07-02,สายไหม,23,24.634329356697556
2022-07-02,หลักสี่,22,12.486875993866745
2022-07-02,ห้วยขวาง,38,45.688341048513834
2022-07-03,จตุจักร,112,53.53075144342163
2022-07-03,ทุ่งครุ,14,14.292317421403817
2022-07-03,บางกอกใหญ่,13,11.569247506324873
2022-07-03,บางนา,37,32.68859150530047
2022-07-03,ประเวศ,51,33.14647356799027
2022-07-03,พญาไท,38,31.518581189538526
2022-07-03,ภาษีเจริญ,32,22.554527122238305
2022-07-03,ราชเทวี,34,34.217784761824646
2022-07-03,วังทองหลาง,41,32.73477036426727
2022-07-03,สะพานสูง,18,22.090847920597067
2022-07-04,คลองเตย,49,40.1794643615586
2022-07-04,คันนายาว,12,13.318447446402013
2022-07-04,ธนบุรี,19,28.01911415941921
2022-07-04,บางกะปิ,61,43.54591528396994
2022-07-04,บางขุนเทียน,30,23.41982921706259
2022-07-04,บางรัก,30,22.21489438603333
2022-07-04,บึงกุ่ม,31,15.08812250435688
2022-07-04,พญาไท,35,31.797065813277463
2022-07-04,ลาดพร้าว,42,27.63215407767487
2022-07-04,วังทองหลาง,30,33.63987079060619
2022-07-05,บางคอแหลม,22,14.471273846825198
2022-07-05,พระโขนง,24,13.421805646550524
2022-07-05,ยานนาวา,39,17.81522043978292
2022-07-05,วัฒนา,37,25.888625546151285
2022-07-05,ห้วยขวาง,49,30.942585759812136
2022-07-06,คันนายาว,16,13.171761854295065
2022-07-06,จอมทอง,22,15.351782082610137
2022-07-06,ดอนเมือง,21,24.547861132651057
2022-07-06,ทุ่งครุ,11,8.77566899140687
2022-07-06,บางกอกใหญ่,11,14.644570689752294
2022-07-06,บางคอแหลม,13,14.65123279810945
2022-07-06,บางแค,51,41.2872877832301
2022-07-06,สาทร,26,28.75225516888539
2022-07-07,คลองสามวา,16,26.978744265588652
2022-07-07,จอมทอง,31,15.105504351649103
2022-07-07,ดินแดง,63,31.11416329002497
2022-07-07,ธนบุรี,18,13.575226723331195
2022-07-07,บางบอน,18,15.09563119568806
2022-07-07,บางเขน,36,32.1373119629526
2022-07-07,ป้อมปราบศัตรูพ่าย,11,12.488583835914145
2022-07-07,ภาษีเจริญ,24,23.612392287608717
2022-07-07,สวนหลวง,32,35.73284496704148
2022-07-07,หนองจอก,9,13.831230724830814
2022-07-08,บางกะปิ,200,34.624011433117985
2022-07-08,บางขุนเทียน,27,29.878794577027186
2022-07-08,บางซื่อ,26,29.50233382849521
2022-07-08,บางนา,27,25.911268683850494
2022-07-08,บางบอน,22,13.620158560832289
2022-07-08,บึงกุ่ม,26,14.549800383874233
2022-07-08,ปทุมวัน,36,32.29462862489031
2022-07-08,สาทร,46,32.18852875001345
2022-07-08,หนองแขม,11,28.122160673973298
2022-07-09,คลองเตย,23,30.71326121440196
2022-07-09,บางกอกน้อย,9,13.225720556308492
2022-07-09,บางพลัด,60,28.998259170442548
2022-07-09,ภาษีเจริญ,35,20.644534310858013
2022-07-09,วังทองหลาง,16,28.86177041139809
2022-07-09,หนองแขม,13,10.120279108112165
2022-07-10,ทุ่งครุ,11,21.392384591991664
2022-07-10,บางกะปิ,35,35.317546502276564
2022-07-10,บางพลัด,17,36.88472579445574
2022-07-10,ประเวศ,30,42.412007817782225
2022-07-10,พญาไท,24,16.027000492394087
2022-07-10,ยานนาวา,9,11.910667564376643
2022-07-10,สวนหลวง,46,34.83483666195716
2022-07-10,สาทร,13,27.569659508202005
2022-07-11,คลองสามวา,11,15.521502753291077
2022-07-11,จตุจักร,61,43.91323777474498
2022-07-11,บางบอน,13,10.751394010137187
2022-07-11,บางเขน,21,24.997320559240933
2022-07-11,ปทุมวัน,29,23.882600733754096
2022-07-11,ภาษีเจริญ,26,24.868173400917488
2022-07-11,มีนบุรี,20,13.001605499303926
2022-07-11,ลาดพร้าว,17,15.605466216897828
2022-07-11,วังทองหลาง,23,11.657609357525999
2022-07-11,สายไหม,20,13.880648405784294
2022-07-11,ห้วยขวาง,38,26.044957943806764
2022-07-12,บางกะปิ,30,42.15295227413291
2022-07-12,บางขุนเทียน,46,18.40881206675466
2022-07-12,บางคอแหลม,20,12.578294303543029
2022-07-12,บึงกุ่ม,35,24.67879303393402
2022-07-12,ปทุมวัน,23,22.627608551457804
2022-07-12,พญาไท,24,30.959335377728696
2022-07-12,ราษฎร์บูรณะ,12,6.934208451010305
2022-07-12,ลาดกระบัง,29,32.26520059427112
2022-07-12,วัฒนา,27,25.49790339690984
2022-07-12,สาทร,27,27.587359580183623
2022-07-12,สายไหม,22,15.528589854715293
2022-07-12,หนองจอก,12,12.866634673505711
2022-07-12,หลักสี่,19,9.878939131117194
2022-07-12,ห้วยขวาง,35,32.97849472807779
2022-07-13,คลองสามวา,12,11.775965761320721
2022-07-13,คันนายาว,7,12.200845517350455
2022-07-13,ดอนเมือง,16,26.999265199211692
2022-07-13,ทวีวัฒนา,4,9.468141696138861
2022-07-13,บางกะปิ,37,26.83155343656003
2022-07-13,บางซื่อ,12,14.812902924231867
2022-07-13,บางบอน,15,17.87145220729757
2022-07-13,พระนคร,10,14.407562700599154
2022-07-13,มีนบุรี,27,12.323249913840819
2022-07-13,วัฒนา,17,24.252181214937146
2022-07-13,สวนหลวง,30,35.132999618984016
2022-07-13,สัมพันธวงศ์,1,5.880210373347597
2022-07-14,บางขุนเทียน,17,28.11428484039654
2022-07-14,บางซื่อ,37,12.637869872257067
2022-07-14,บึงกุ่ม,10,13.329342241282443
2022-07-14,ปทุมวัน,18,17.78512253134709
2022-07-14,ประเวศ,25,25.320788342423675
2022-07-14,พระโขนง,40,14.493951241968873
2022-07-14,ยานนาวา,29,10.540143344582923
2022-07-14,หนองแขม,3,12.028886246460685
2022-07-14,ห้วยขวาง,23,25.779030091060115
2022-07-15,ดินแดง,26,15.277977123364613
2022-07-15,ดุสิต,8,6.981600153911986
2022-07-15,บางกอกใหญ่,13,8.482184904599656
2022-07-15,ปทุมวัน,23,18.125150812385243
2022-07-15,ราชเทวี,32,31.477288591484303
2022-07-15,ราษฎร์บูรณะ,14,9.95068143845413
2022-07-15,ลาดกระบัง,22,23.48063643513449
2022-07-15,สัมพันธวงศ์,6,6.286798949098648
2022-07-15,หนองจอก,8,12.997340800517819
2022-07-16,จตุจักร,42,44.47696515996446
2022-07-16,ตลิ่งชัน,18,13.965814060260339
2022-07-16,บางกอกน้อย,7,14.123563789013923
2022-07-16,บางขุนเทียน,15,17.921637976404774
2022-07-16,บางคอแหลม,9,13.218312166081953
2022-07-16,มีนบุรี,11,11.803911085800168
2022-07-16,วังทองหลาง,12,12.876916436632808
2022-07-16,สวนหลวง,14,25.988807646688294
2022-07-16,สะพานสูง,15,11.217311560496015
2022-07-16,สายไหม,12,10.174192927396524
2022-07-16,หนองจอก,16,8.554386712134868
2022-07-16,หลักสี่,16,13.37381251707022
2022-07-17,คลองเตย,29,22.57632429656329
2022-07-17,ตลิ่งชัน,6,13.839183976905892
2022-07-17,บางกอกใหญ่,4,6.851321349800192
2022-07-17,บางกะปิ,15,18.25954748554781
2022-07-17,บางพลัด,26,15.180674756701595
2022-07-17,บางรัก,7,13.285400335501166
2022-07-17,บึงกุ่ม,19,13.05146116215171
2022-07-17,พระนคร,15,14.45066213363782
2022-07-17,ราชเทวี,20,20.628055867042328
2022-07-17,ราษฎร์บูรณะ,2,6.947089360951127
2022-07-17,ลาดพร้าว,25,12.73105822565594
2022-07-17,วังทองหลาง,13,11.772212201263489
2022-07-17,สะพานสูง,8,12.853041017501535
2022-07-17,สาทร,15,16.095917110332177
2022-07-17,สายไหม,11,12.002941953285541
2022-07-18,คันนายาว,7,13.222590635290493
2022-07-18,ดอนเมือง,8,9.575088883529613
2022-07-18,ดินแดง,15,16.542489324453307
2022-07-18,ทุ่งครุ,14,9.48778407923513
2022-07-18,บางกอกน้อย,30,13.380614060541195
2022-07-18,บางคอแหลม,7,6.63305910956735
2022-07-18,บางซื่อ,19,27.171970854531605
2022-07-18,บางเขน,24,24.778622237174623
2022-07-18,ลาดพร้าว,21,25.541191538267814
2022-07-18,สะพานสูง,8,8.091567179164553
2022-07-18,หนองแขม,14,7.595533520437115
2022-07-19,คลองสาน,14,10.931502692872925
2022-07-19,คันนายาว,10,6.934208451010305
2022-07-19,จอมทอง,15,13.125039615784823
2022-07-19,ธนบุรี,21,10.65295029763639
2022-07-19,บางคอแหลม,7,7.465767215923094
2022-07-19,มีนบุรี,20,12.948962375902369
2022-07-19,ลาดพร้าว,23,15.552823093496269
2022-07-19,หลักสี่,13,12.591934941016355
2022-07-20,ดินแดง,44,19.492699276748304
2022-07-20,ดุสิต,10,9.468141696138861
2022-07-20,บางกอกใหญ่,5,6.838440439859371
2022-07-20,บางขุนเทียน,51,25.051117916096096
2022-07-20,ประเวศ,109,25.955923881003265
2022-07-20,ภาษีเจริญ,20,25.016941633218124
2022-07-20,มีนบุรี,66,15.024525759817848
2022-07-20,ราชเทวี,30,21.609811444595774
2022-07-20,ห้วยขวาง,114,19.277367750902386
2022-07-21,จอมทอง,19,15.021320643880737
2022-07-21,ทวีวัฒนา,4,6.3925224014139586
2022-07-21,ทุ่งครุ,17,25.47340813087859
2022-07-21,ประเวศ,217,67.77937316090366
2022-07-21,ราชเทวี,27,26.07722021534845
2022-07-21,วังทองหลาง,79,39.06292149481253
2022-07-21,วัฒนา,87,45.82286891295048
2022-07-21,สะพานสูง,59,34.714947555830356
2022-07-21,ห้วยขวาง,45,60.62435275764183
2022-07-22,คลองเตย,22,33.62458023014203
2022-07-22,ตลิ่งชัน,9,12.041728649019328
2022-07-22,ธนบุรี,13,14.165042515615315
2022-07-22,บางกอกใหญ่,3,6.198092637408629
2022-07-22,บางกะปิ,48,68.24531229498629
2022-07-22,บึงกุ่ม,18,31.788793827994123
2022-07-22,ราชเทวี,21,24.399501484859993
2022-07-22,หนองจอก,15,13.671908943086137
2022-07-23,คลองเตย,32,18.654466672109997
2022-07-23,จอมทอง,8,11.051591810947302
2022-07-23,บางแค,29,31.88966504174898
2022-07-23,ประเวศ,62,60.36660244773871
2022-07-23,ราษฎร์บูรณะ,3,13.542716770590541
2022-07-23,วัฒนา,21,24.04579899830143
2022-07-23,หนองแขม,12,13.986464213124986
2022-07-23,ห้วยขวาง,17,18.711154324116094
2022-07-24,คลองเตย,28,27.538876659960046
2022-07-24,ดินแดง,9,12.722250793837587
2022-07-24,ทุ่งครุ,6,13.851628587608705
2022-07-24,บางกอกน้อย,7,12.254030828272022
2022-07-24,บางกอกใหญ่,5,6.030063556068013
2022-07-24,บางซื่อ,19,30.857482799177166
2022-07-24,บางแค,21,26.49412095625584
2022-07-24,ปทุมวัน,12,20.606554651084323
2022-07-24,พระโขนง,13,10.138120837863381
2022-07-24,ภาษีเจริญ,8,21.41715891259846
2022-07-24,มีนบุรี,16,14.921618577037012
